made,shot_x,shot_y,shooter_velocity_ft_sec,shooter_velocity_angle,dribbles_before,defender_distance,defender_angle,defender_velocity_ft_sec,defender_velocity_angle
1,-19.47713489,23.96091333,1.695716479,-38.87253134,1,3.728342731,-2.463995352,6.260672231,-10.72508164
1,-20.63291068,14.7604729,1.02468208,45.87220765,0,2.390138972,33.05654216,7.621792392,0.772688527
0,-16.94912246,19.32058504,0.371978358,2.250682871,0,7.262891137,23.38082667,9.860473878,-16.21359278
0,-5.907224381,12.77737746,2.858297769,-17.03614433,0,3.686613752,64.6147389,4.55604869,138.9551869
0,20.65279758,48.00220281,12,-25.29558744,0,4.48272386,-124.2656985,12,51.44079767
0,-13.07904082,23.89237763,2.784581261,93.74219517,0,5.362671041,55.07512013,3.950880181,18.15890595
1,22.38685283,1.294636065,1.34856324,5.365164244,0,6.920030768,-15.64534094,11.41064578,11.21366419
0,6.32779492,3.090402538,6.364946211,5.642963537,0,3.651346921,180,8.029262126,31.99561014
1,-0.976129909,4.524374641,2.691464649,-22.02392329,0,2.558877861,43.22062244,0.602181587,10.4980322
0,9.640195534,9.139769584,2.256540234,-154.1610958,2,1.510787194,-114.3445899,7.721279329,-4.471515244
0,16.19983074,20.08591799,0.693775741,122.1805139,1,3.622675199,55.19769606,4.849067325,-66.73297791
1,-6.53403678,3.400378213,5.150487412,-146.3163553,10,4.403299453,20.9629246,5.817456175,131.4121181
0,9.637314456,64.73647984,12,1.504482862,0,4.948319378,40.54474277,12,-108.375156
0,17.20389257,18.06308961,0.716283725,12.2022721,4,5.176277663,-25.00879996,3.366782966,-136.4669134
1,23.29611475,-1.608414663,0,-23.76851394,0,6.950246447,-42.26839444,9.913347132,-4.887140675
1,-10.43908525,21.01935227,5.408336662,16.04094435,0,2.666758713,24.82242313,3.239431465,-2.152921879
0,13.14556158,22.41236262,1.99608385,8.751960971,0,5.53066659,-7.712736887,3.03218637,-6.628255907
0,-19.7337859,1.721186945,2.921943262,85.956857,1,2.727637046,11.23878571,8.837001251,-96.71750678
0,-13.54551892,5.685277791,0.52119362,81.07473596,1,5.038211266,20.737892,3.760747695,14.54891561
0,-6.576260013,25.04159281,2.901335417,28.10812917,3,4.563080603,6.314349695,5.421532112,16.55974877
0,-22.15083024,1.910141355,0.369865946,-167.0130521,0,6.479545584,-14.04384623,8.660828337,13.30507593
0,2.352171473,1.45546063,2.013637534,107.620671,1,2.529947204,-24.19952647,3.323084712,148.1920784
0,2.482738795,8.417939849,6.700638892,-104.2603711,2,1.969699932,-5.123507506,8.186514447,114.808327
0,-15.31815101,29.92148586,4.360713376,-9.902428282,2,6.362712494,-67.70831065,4.823171328,40.8864815
0,-20.36664599,15.83732791,0.784627515,-14.07465133,0,4.268518766,16.73502139,11.34602907,20.36819249
0,21.95634506,12.60919704,6.995711523,-1.982277455,1,4.255196681,-12.01897082,9.857193436,92.38231816
0,-0.382608234,25.64300389,0,121.038307,0,7.439399865,12.37564396,9.552771555,-30.35929646
1,-1.17793108,2.826813766,9.78514659,-47.35773664,1,1.411975973,-83.63231241,4.841539156,-177.8096655
0,-4.124799893,27.70381746,3.023665144,-129.9994623,0,2.044486962,-3.039330103,6.513969354,-10.84872067
0,-11.72915888,19.19015635,1.11762808,28.12380213,12,1.527244645,74.34513408,9.269200087,-58.8112756
1,-0.282448409,2.015931672,9.053753493,-75.54525555,0,2.842958674,79.14177218,1.812847082,104.1611562
